side_dist = (2.50, 20.20), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 40.40)
side_dist = (2.50, 18.52), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 37.04)
side_dist = (2.50, 17.09), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 34.19)
side_dist = (2.50, 15.87), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 31.75)
side_dist = (2.50, 14.81), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 29.63)
side_dist = (2.50, 13.89), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 27.78)
side_dist = (2.50, 13.07), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 26.14)
side_dist = (2.50, 12.35), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 24.69)
side_dist = (2.50, 11.70), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 23.39)
side_dist = (2.50, 11.11), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 22.22)
side_dist = (2.50, 10.58), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 21.16)
side_dist = (2.50, 10.10), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 20.20)
side_dist = (2.50, 9.66), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 19.32)
side_dist = (2.50, 9.26), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 18.52)
side_dist = (2.50, 8.89), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 17.78)
side_dist = (2.50, 8.55), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 17.09)
side_dist = (2.50, 8.23), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 16.46)
side_dist = (2.50, 7.94), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 15.87)
side_dist = (2.50, 7.66), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 15.33)
side_dist = (2.50, 7.41), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 14.81)
side_dist = (2.50, 7.17), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 14.34)
side_dist = (2.50, 6.94), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 13.89)
side_dist = (2.50, 6.73), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 13.47)
side_dist = (2.50, 6.54), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 13.07)
side_dist = (2.50, 6.35), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 12.70)
