side_dist = (2.75, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.84, 1.00)
side_dist = (2.77, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.84, 1.00)
side_dist = (2.78, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.85, 1.00)
side_dist = (2.79, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.86, 1.00)
side_dist = (2.80, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.87, 1.00)
side_dist = (2.81, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.88, 1.00)
side_dist = (2.82, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.88, 1.00)
side_dist = (2.84, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.89, 1.00)
side_dist = (2.85, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.90, 1.00)
side_dist = (2.86, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.91, 1.00)
side_dist = (2.87, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.92, 1.00)
side_dist = (2.89, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.92, 1.00)
side_dist = (2.90, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.93, 1.00)
side_dist = (2.91, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.94, 1.00)
side_dist = (2.92, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.95, 1.00)
side_dist = (2.94, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.96, 1.00)
side_dist = (2.95, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.97, 1.00)
side_dist = (2.96, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.98, 1.00)
side_dist = (2.98, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.98, 1.00)
side_dist = (2.99, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.99, 1.00)
side_dist = (3.00, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.00, 1.00)
side_dist = (3.02, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.01, 1.00)
side_dist = (3.03, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.02, 1.00)
side_dist = (3.04, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.03, 1.00)
side_dist = (3.06, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.04, 1.00)
side_dist = (3.07, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.05, 1.00)
side_dist = (3.09, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.06, 1.00)
side_dist = (3.10, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.07, 1.00)
side_dist = (3.12, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.08, 1.00)
side_dist = (3.13, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.09, 1.00)
side_dist = (3.14, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.10, 1.00)
side_dist = (3.16, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.11, 1.00)
side_dist = (3.17, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (2.12, 1.00)
